Sr No,Rec.Index,TimeStamp,SPEED,TORQUE,THROTTLEFB,ESpeedDemand,ETorqueDemand,RT_ProgStepIndex,RT_StepIndex,RT_StepMode
1,1,19/08/2022 21:10:06:885,900,2.31,0,1000,0,1,1,7
2,2,19/08/2022 21:10:06:985,900,2.31,0,1000,0,1,1,7
3,3,19/08/2022 21:10:07:85,900,2.32,0,1000,0,1,1,7
4,4,19/08/2022 21:10:07:185,900,2.34,0,1000,0,1,1,7
5,5,19/08/2022 21:10:07:285,900,2.36,0,1000,0,1,1,7
6,6,19/08/2022 21:10:07:385,900,2.34,0,1000,0,1,1,7
7,7,19/08/2022 21:10:07:485,900,2.33,0,1000,0,1,1,7
8,8,19/08/2022 21:10:07:585,900,2.26,0,1000,0,1,1,7
9,9,19/08/2022 21:10:07:685,900,2.2,0,1000,0,1,1,7
10,10,19/08/2022 21:10:07:785,900,2.29,0,1000,0,1,1,7
11,11,19/08/2022 21:10:07:885,900,2.37,0,1000,0,2,1,7
12,12,19/08/2022 21:10:07:985,900,2.35,0,1000,0,2,1,7
13,13,19/08/2022 21:10:08:85,900,2.37,0,1000,0,2,1,7
14,14,19/08/2022 21:10:08:185,900,2.37,0,1000,0,2,1,7
15,15,19/08/2022 21:10:08:285,900,2.33,0,1000,0,2,1,7
16,16,19/08/2022 21:10:08:385,900,2.35,0,1000,0,2,1,7
17,17,19/08/2022 21:10:08:485,900,2.34,0,1000,0,2,1,7
18,18,19/08/2022 21:10:08:585,900,2.28,0,1000,0,2,1,7
19,19,19/08/2022 21:10:08:685,900,2.34,0,1000,0,2,1,7
20,20,19/08/2022 21:10:08:785,900,2.33,0,1000,0,2,1,7
21,21,19/08/2022 21:10:08:885,900,2.3,0,1000,0,3,1,7
22,22,19/08/2022 21:10:08:985,900,2.36,0,1000,0,3,1,7
23,23,19/08/2022 21:10:09:85,900,2.33,0,1000,0,3,1,7
24,24,19/08/2022 21:10:09:185,900,2.34,0,1000,0,3,1,7
25,25,19/08/2022 21:10:09:285,900,2.33,0,1000,0,3,1,7
26,26,19/08/2022 21:10:09:386,900,2.28,0,1000,0,3,1,7
27,27,19/08/2022 21:10:09:486,900,2.24,0,1000,0,3,1,7
28,28,19/08/2022 21:10:09:586,900,2.31,0,1000,0,3,1,7
29,29,19/08/2022 21:10:09:686,900,2.36,0,1000,0,3,1,7
30,30,19/08/2022 21:10:09:786,900,2.35,0,1000,0,3,1,7
31,31,19/08/2022 21:10:09:886,900,2.37,0,1000,0,4,1,7
32,32,19/08/2022 21:10:09:986,900,2.31,0,1000,0,4,1,7
33,33,19/08/2022 21:10:10:86,900,2.27,0,1000,0,4,1,7
34,34,19/08/2022 21:10:10:186,900,2.36,0,1000,0,4,1,7
35,35,19/08/2022 21:10:10:286,900,2.33,0,1000,0,4,1,7
36,36,19/08/2022 21:10:10:386,900,2.26,0,1000,0,4,1,7
37,37,19/08/2022 21:10:10:486,900,2.27,0,1000,0,4,1,7
